county,state,county_seat,parcel_number,owner_name,property_address,city,zip,amount_due,sale_date,sale_number,source_url,date_scraped,notes
Shelby,TN,Memphis,050036  00015,,10 W GAGE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=050036  00015 | Alt parcel: 05003600000150
Shelby,TN,Memphis,093417 E00013,,3750 WHITE BIRCH,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=093417 E00013 | Alt parcel: 0934170E000130
Shelby,TN,Memphis,073041 F00042,,3225 FOREST BROOK,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=073041 F00042 | Alt parcel: 0730410F000420
Shelby,TN,Memphis,013064  00004,,1383 ASTE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=013064  00004 | Alt parcel: 01306400000040
Shelby,TN,Memphis,058039  00013,,3604 W ELKWOOD,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=058039  00013 | Alt parcel: 05803900000130
Shelby,TN,Memphis,073111 D00027,,3555 FIELD FLOWER,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=073111 D00027 | Alt parcel: 0731110D000270
Shelby,TN,Memphis,059072  00012,,3251 PARK,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=059072  00012 | Alt parcel: 05907200000120
Shelby,TN,Memphis,D0216G B00026,,0 S GAME CREEK,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=D0216G B00026 | Alt parcel: D0216G0B000260
Shelby,TN,Memphis,001096  00021,,0 N SEVENTH,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=001096  00021 | Alt parcel: 00109600000210
Shelby,TN,Memphis,053056  00140,,0 MACON,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=053056  00140 | Alt parcel: 05305600001400
Shelby,TN,Memphis,060019  00010,,2381 DRAKE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=060019  00010 | Alt parcel: 06001900000100
Shelby,TN,Memphis,B0149  C00049,,4451 BRUNSWICK,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=B0149  C00049 | Alt parcel: B014900C000490
Shelby,TN,Memphis,060231  00383M,,4529 ATOLL,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=060231  00383M | Alt parcel: 0602310000383M
Shelby,TN,Memphis,049054  00010,,611 E MCKELLAR,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=049054  00010 | Alt parcel: 04905400000100
Shelby,TN,Memphis,D0210   00428,,1668 PISGAH,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=D0210   00428 | Alt parcel: D0210000004280
Shelby,TN,Memphis,031018  00016,,1641 GLENVIEW,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=031018  00016 | Alt parcel: 03101800000160
Shelby,TN,Memphis,042036  00039,,1193 N HOLLYWOOD,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=042036  00039 | Alt parcel: 04203600000390
Shelby,TN,Memphis,084016  00014,,3344 SCENIC,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=084016  00014 | Alt parcel: 08401600000140
Shelby,TN,Memphis,031011  00003,,1565 S PARKWAY E,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=031011  00003 | Alt parcel: 03101100000030
Shelby,TN,Memphis,025034  00015,,668 SAXON,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=025034  00015 | Alt parcel: 02503400000150
Shelby,TN,Memphis,024052  00023,,1394 HORACE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=024052  00023 | Alt parcel: 02405200000230
Shelby,TN,Memphis,069031  00035,,912 JULIET,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=069031  00035 | Alt parcel: 06903100000350
Shelby,TN,Memphis,069006  00059,,3262 BENJESTOWN,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=069006  00059 | Alt parcel: 06900600000590
Shelby,TN,Memphis,013045  00008,,1029 S 4TH,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=013045  00008 | Alt parcel: 01304500000080
Shelby,TN,Memphis,029099  00003,,0 HILTON,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=029099  00003 | Alt parcel: 02909900000030
Shelby,TN,Memphis,031108  00018,,2034 CARNES,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=031108  00018 | Alt parcel: 03110800000180
Shelby,TN,Memphis,042032  00019,,0 MARBLE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=042032  00019 | Alt parcel: 04203200000190
Shelby,TN,Memphis,049021  00011,,1869 S WELLINGTON,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=049021  00011 | Alt parcel: 04902100000110
Shelby,TN,Memphis,075088 A00047,,3602 HICKY,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=075088 A00047 | Alt parcel: 0750880A000470
Shelby,TN,Memphis,074037 H00015,,3504 BOXDALE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=074037 H00015 | Alt parcel: 0740370H000150
Shelby,TN,Memphis,049056  00003,,635 E DAVANT,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=049056  00003 | Alt parcel: 04905600000030
